epoch,loss,model,roc_auc,pr_auc,f1,precision,recall
1,0.7377938962063322,baseline,0.9931664679936083,0.9864603676604949,0.9829085115567449,0.9904156682987811,0.7306922246261802
2,0.44547679082201747,baseline,0.993357111423826,0.9859323967711784,0.9831891818614545,0.9897368556568309,0.7385971047463867
3,0.44272192276767275,baseline,0.9935811243183185,0.9860293098122285,0.983452585388739,0.9908373094624836,0.7214231089966529
4,0.44336199203473203,baseline,0.9937113676562187,0.986844771370132,0.9836010271363338,0.9907425799504459,0.7283672598849431
5,0.4420526432427109,baseline,0.9933578706029424,0.9862994274864181,0.9835727434061217,0.99041074577326,0.7338856885930697
6,0.44057129001732387,baseline,0.9931967770830645,0.9862612898655118,0.9835574918273827,0.9905037764904304,0.7267148056060472
7,0.44038182689932026,baseline,0.9931857578803321,0.9861636888422262,0.983859950008071,0.9909239464179772,0.7317298121966498
8,0.4381734493588448,baseline,0.9930257111908793,0.9859594515986897,0.9833913528239676,0.9906511776171738,0.7285094478112667
9,0.43922027299919925,baseline,0.9929590324715089,0.9860295342288722,0.9833290333829979,0.9907127967393672,0.7342084936149935
10,0.439717637936445,baseline,0.9930914130801949,0.9866320113606847,0.983621549982833,0.9908451438099208,0.7307806117155166
1,0.6922470573116621,affinity_weighted,0.9968041131637698,0.9905873755125043,0.9849206861823827,0.9964505668535231,0.7616622921462307
2,0.44189357463583473,affinity_weighted,0.9970408691751658,0.9909497742721474,0.9849595634600875,0.9970563732296585,0.7588684915398184
3,0.44075083165782775,affinity_weighted,0.9971383892673957,0.9913295857363094,0.9850457942341334,0.9965864964627822,0.7584419277608476
4,0.44020481458008043,affinity_weighted,0.9970885692731699,0.9905400310209876,0.9850226057239331,0.9968200514269195,0.7553099504648008
5,0.43759623213472754,affinity_weighted,0.9972274059687081,0.9913229123967282,0.9847358165514691,0.9968859635819507,0.7578155323016382
6,0.4380013633133938,affinity_weighted,0.9971685304076523,0.9914864572479246,0.9848983671609338,0.9967997500277187,0.7600790103720327
7,0.43658246057468447,affinity_weighted,0.9969385439488994,0.9903970929463397,0.9849729947316601,0.9964984759553619,0.7600905391228158
8,0.435629501898412,affinity_weighted,0.9968928599353861,0.9908342175657368,0.9848830608253994,0.99646810834537,0.7502795722064877
9,0.4366564277886552,affinity_weighted,0.9970887104110465,0.9905485861522332,0.9850625802574331,0.9967579892407995,0.7526199086154355
10,0.43713335181712293,affinity_weighted,0.9972322582422344,0.9913354058850197,0.9848699447635223,0.9970335808701161,0.7620619555067079
